População,residente,,,,,,,,,,,,,,
Capital_Sao_Paulo,,,,,,,,,,,,,,,
Ano,0-4anos,5-9anos,10-14anos,15-19anos,20-29anos,30-39anos,40-49anos,50-59anos,60-69anos,70-79anos,80+,Total,Masculino,Feminino,Total
2000,934.82,894.68,920.44,1.015.336,2.028.179,1.741.815,1.383.896,880.69,558.23,337.98,125.82,10.821.872,5.135.841,5.686.031,10.821.872
2001,929.04,899.50,907.02,1.008.519,2.057.513,1.758.083,1.416.210,914.91,568.93,349.52,130.65,10.939.901,5.187.335,5.752.566,10.939.901
2002,915.84,904.71,895.69,998.19,2.085.417,1.773.550,1.445.584,950.95,579.57,358.73,137.34,11.045.566,5.233.573,5.811.993,11.045.566
2003,899.06,910.68,887.05,984.48,2.110.379,1.788.319,1.472.015,988.38,591.16,366.64,145.30,11.143.452,5.277.030,5.866.422,11.143.452
2004,880.43,916.03,881.59,968.14,2.133.315,1.802.936,1.496.171,1.026.449,604.33,373.75,154.18,11.237.332,5.319.054,5.918.278,11.237.332
2005,863.04,917.81,879.65,950.56,2.152.194,1.819.166,1.518.100,1.064.492,620.13,380.46,163.59,11.329.195,5.360.600,5.968.595,11.329.195
2006,848.28,913.04,881.10,933.80,2.164.536,1.838.927,1.538.214,1.101.840,638.65,387.39,173.15,11.418.916,5.401.650,6.017.266,11.418.916
2007,835.12,902.60,884.13,919.39,2.168.604,1.863.411,1.555.862,1.138.563,659.52,394.56,182.65,11.504.394,5.440.997,6.063.397,11.504.394
2008,824.77,888.17,888.06,907.87,2.162.951,1.892.963,1.571.242,1.174.079,682.36,402.13,191.97,11.586.559,5.479.271,6.107.288,11.586.559
2009,816.33,871.94,891.62,899.43,2.147.262,1.926.183,1.584.779,1.207.975,707.27,409.73,200.93,11.663.452,5.515.248,6.148.204,11.663.452
2010,807.39,856.19,892.43,893.18,2.116.985,1.958.450,1.597.336,1.239.685,734.74,417.68,209.31,11.723.372,5.543.261,6.180.111,11.723.372
2011,800.58,841.26,887.77,890.60,2.077.133,1.986.786,1.609.998,1.269.387,764.81,425.83,217.14,11.771.291,5.566.224,6.205.067,11.771.291
2012,798.70,825.90,878.15,891.06,2.039.529,2.011.835,1.623.043,1.297.001,796.72,435.03,224.58,11.821.547,5.591.499,6.230.048,11.821.547
2013,796.79,811.88,864.37,892.75,2.004.960,2.032.901,1.635.268,1.322.797,829.65,445.35,232.28,11.868.982,5.615.902,6.253.080,11.868.982
2014,795.39,799.09,848.44,894.20,1.971.809,2.050.077,1.646.802,1.346.264,862.71,457.27,240.28,11.912.329,5.638.484,6.273.845,11.912.329
2015,796.89,786.88,832.71,893.31,1.939.618,2.061.183,1.659.111,1.366.949,895.50,470.98,248.25,11.951.362,5.658.856,6.292.506,11.951.362
2016,793.21,778.64,817.74,888.02,1.909.721,2.063.811,1.673.951,1.384.883,927.86,486.63,256.38,11.980.837,5.674.419,6.306.418,11.980.837
2017,784.21,775.38,801.86,877.75,1.883.953,2.055.864,1.692.092,1.400.384,959.36,503.68,264.90,11.999.421,5.684.488,6.314.933,11.999.421
2018,775.73,772.42,786.68,862.41,1.863.278,2.036.588,1.713.278,1.414.086,989.68,522.51,273.66,12.010.314,5.690.287,6.320.027,12.010.314
2019,763.18,769.98,772.75,844.43,1.849.572,2.008.363,1.737.014,1.426.471,1.018.279,542.96,282.24,12.015.228,5.693.196,6.322.032,12.015.228
2020,742.41,770.97,759.32,827.19,1.841.201,1.974.621,1.761.986,1.437.359,1.043.981,563.93,289.56,12.012.528,5.691.778,6.320.750,12.012.528
2021,717.82,767.16,750.30,810.97,1.830.161,1.938.340,1.784.329,1.444.848,1.065.122,583.43,294.20,11.986.673,5.677.858,6.308.815,11.986.673
2022,691.25,758.67,746.87,793.83,1.812.989,1.902.923,1.804.042,1.452.979,1.085.443,604.17,297.31,11.950.472,5.658.691,6.291.781,11.950.472
2023,662.42,752.41,745.58,779.23,1.792.515,1.871.833,1.822.036,1.463.731,1.108.643,629.60,302.85,11.930.850,5.648.741,6.282.109,11.930.850
2024,633.06,740.45,742.83,764.58,1.768.064,1.839.247,1.835.398,1.474.311,1.130.527,655.43,311.69,11.895.578,5.631.649,6.263.929,11.895.578
